,Country,ISO3,Continent,OECD_GDP,GDP_per_Capita,Population,Life.Expectancy,Female,Male,Health.Adjusted
108,New Zealand,NZL,Oceania,33700.43111,41629,4705818,81.6,83.3,80,71.6
109,Nicaragua,NIC,North America,NA,2201,6217581,74.8,77.9,71.5,63.7
110,Niger,NER,Africa,NA,420,21477348,61.8,62.8,60.9,54.2
111,Nigeria,NGA,Africa,NA,2092,190886311,54.5,55.6,53.4,47.7
112,Norway,NOR,Europe,60452.84323,73615,5305383,81.8,83.7,79.8,72
113,Oman,OMN,Asia,NA,17406,4636262,76.6,79.2,75,66.7
115,Panama,PAN,North America,NA,14409,4098587,77.8,81.1,74.7,68.1
116,Papua New Guinea,PNG,Oceania,NA,2689,8251162,62.9,65.4,60.6,56.4
117,Paraguay,PRY,South America,NA,4138,6811297,74,76,72.2,65.2
118,Peru,PER,South America,NA,6598,32165485,75.5,78,73.1,65.6
119,Philippines,PHL,Asia,NA,3022,104918090,68.5,72,65.3,61.1
120,Poland,POL,Europe,25998.84803,13429,38170712,77.5,81.3,73.6,68.7
121,Portugal,PRT,Europe,28023.6408,20575,10329506,81.1,83.9,78.2,71.4
122,Qatar,QAT,Asia,NA,60811,2639211,78.2,80,77.4,67.7
123,Romania,ROU,Europe,NA,10372,19679306,75,78.8,71.4,66.8
124,Rwanda,RWA,Africa,NA,754,12208407,66.1,71.1,60.9,56.6
125,Saint Lucia,LCA,North America,NA,9780,178844,75.2,77.9,72.6,66.1
126,Saint Vincent and the Grenadines,VCT,North America,NA,7395,109897,73.2,75.2,71.3,64.6
127,Samoa,WSM,Oceania,NA,4283,196440,74,77.5,70.9,66.6
128,Sao Tome and Principe,STP,Africa,NA,1749,204327,67.5,69.4,65.6,59.1
129,Saudi Arabia,SAU,Asia,NA,20957,32938213,74.5,76,73.2,64.5
130,Senegal,SEN,Africa,NA,998,15850567,66.7,68.6,64.6,58.3
131,Serbia,SRB,Europe,NA,5599,8790574,75.6,78.4,72.9,67.7
132,Seychelles,SYC,Africa,NA,15658,94737,73.2,78,69.1,65.5
133,Sierra Leone,SLE,Africa,NA,593,7557212,50.1,50.8,49.3,44.4
134,Singapore,SGP,Asia,NA,53880,5708844,83.1,86.1,80,73.9
135,Slovakia,SVK,Europe,29866.74266,17491,5447662,76.7,80.2,72.9,68.1
136,Slovenia,SVN,Europe,30407.25372,23276,2079976,80.8,83.7,77.9,71.1
137,Solomon Islands,SLB,Oceania,NA,2074,611343,69.2,70.8,67.9,62.1
138,South Africa,ZAF,Africa,11963.15719,6089,56717156,62.9,66.2,59.3,54.5
139,South Korea,KOR,Asia,36292.9599,29730,50982212,82.3,85.5,78.8,73.2
140,South Sudan,SSD,Africa,NA,221,12575714,57.3,58.6,56.1,49.9
141,Spain,ESP,Europe,33800.722,28212,46354321,82.8,85.5,80.1,72.4
142,Sri Lanka,LKA,Asia,NA,3905,20876917,83.7,86.8,80.5,74.9
143,Sudan,SDN,Africa,NA,2917,40533330,64.1,65.9,62.4,55.9
144,Suriname,SUR,South America,NA,6415,563402,71.6,74.7,68.6,63.1
145,Swaziland,SWZ,Africa,NA,3513,1367254,58.9,61.1,56.6,50.9
146,Sweden,SWE,Europe,45896.92662,53248,9910701,82.4,84,80.7,72
147,Switzerland,CHE,Europe,54634.17583,80837,8476005,83.4,85.3,81.3,73.1
148,Tajikistan,TJK,Asia,NA,818,8921343,69.7,73.6,66.6,62.1
149,Thailand,THA,Asia,NA,6336,69037513,74.9,78,71.9,66.8
150,Togo,TGO,Africa,NA,621,7797694,59.9,61.1,58.6,52.8
151,Tonga,TON,Oceania,NA,4176,108020,73.5,76.4,70.6,66
152,Trinidad and Tobago,TTO,North America,NA,14784,1369125,71.2,74.8,67.9,63.3
153,Tunisia,TUN,Africa,NA,3517,11532127,75.3,77.8,73,66.7
154,Turkey,TUR,Asia,24420.99036,10434,80745020,75.8,78.9,72.6,66.2
155,Turkey,TUR,Europe,24420.99036,10434,80745020,75.8,78.9,72.6,66.2
156,Turkmenistan,TKM,Asia,NA,7522,5758075,66.3,70.5,62.2,59.8
157,Uganda,UGA,Africa,NA,700,42862958,62.3,64.3,60.3,54
158,Ukraine,UKR,Europe,NA,2458,44222947,71.3,76.1,66.3,64.1
159,United Arab Emirates,ARE,Asia,NA,37346,9400145,77.1,78.6,76.4,67.9
160,Uruguay,URY,South America,NA,17252,3456750,77,80.4,73.3,67.9
161,Uzbekistan,UZB,Asia,NA,2128,31910641,69.4,72.7,66.1,62.4
162,Vanuatu,VUT,Oceania,NA,2976,276244,72,74,70.1,64.6
163,Yemen,YEM,Asia,NA,856,28250420,65.7,67.2,64.3,57.7
164,Zambia,ZMB,Africa,NA,1483,17094130,61.8,64.7,59,53.6
165,Zimbabwe,ZWE,Africa,NA,1149,16529904,60.7,62.3,59,52.3
