Rank	Country or area	UN continental	UN statistical	July 2016	July 2017
176	Brunei	Asia	South-eastern Asia	423,196	428,697
177	Bahamas	Americas	Caribbean	391,232	395,361
178	Martinique	Americas	Caribbean	385,103	384,896
179	Belize	Americas	Central America	366,954	374,681
180	Iceland	Europe	Northern Europe	332,474	335,025
181	Barbados	Americas	Caribbean	284,996	285,719
182	French Polynesia	Oceania	Polynesia	280,208	283,007
183	French Guiana	Americas	South America	275,713	282,731
184	New Caledonia	Oceania	Melanesia	272,677	276,255
185	Vanuatu	Oceania	Melanesia	270,402	276,244
186	Mayotte	Africa	Eastern Africa	246,489	253,045
187	Sao Tome and Principe	Africa	Middle Africa	199,910	204,327
188	Samoa	Oceania	Polynesia	195,125	196,440
189	Saint Lucia	Americas	Caribbean	178,015	178,844
190	Guernsey and  Jersey	Europe	Northern Europe	164,541	165,314
191	Guam	Oceania	Micronesia	162,896	164,229
192	Curacao	Americas	Caribbean	159,371	160,539
193	Kiribati	Oceania	Micronesia	114,395	116,398
194	Saint Vincent and the Grenadines	Americas	Caribbean	109,643	109,897
195	Tonga	Oceania	Polynesia	107,122	108,020
196	Grenada	Americas	Caribbean	107,317	107,825
197	Federated States of Micronesia	Oceania	Micronesia	104,937	105,544
198	Aruba	Americas	Caribbean	104,822	105,264
199	United States Virgin Islands	Americas	Caribbean	104,913	104,901
200	Antigua and Barbuda	Americas	Caribbean	100,963	102,012
201	Seychelles	Africa	Eastern Africa	94,228	94,737
202	Isle of Man	Europe	Northern Europe	83,737	84,287
203	Andorra	Europe	Southern Europe	77,281	76,965
204	Dominica	Americas	Caribbean	73,543	73,925
205	Cayman Islands	Americas	Caribbean	60,765	61,559
206	Bermuda	Americas	Northern America	61,666	61,349
207	Greenland	Americas	Northern America	56,412	56,480
208	American Samoa	Oceania	Polynesia	55,599	55,641
209	Saint Kitts and Nevis	Americas	Caribbean	54,821	55,345
210	Northern Mariana Islands	Oceania	Micronesia	55,023	55,144
211	Marshall Islands	Oceania	Micronesia	53,066	53,127
212	Faroe Islands	Europe	Northern Europe	49,117	49,290
213	Sint Maarten	Americas	Caribbean	39,537	40,120
214	Monaco	Europe	Western Europe	38,499	38,695
215	Liechtenstein	Europe	Western Europe	37,666	37,922
216	Turks and Caicos Islands	Americas	Caribbean	34,900	35,446
217	Gibraltar	Europe	Southern Europe	34,408	34,571
218	San Marino	Europe	Southern Europe	33,203	33,400
219	British Virgin Islands	Americas	Caribbean	30,661	31,196
220	Caribbean Netherlands	Americas	Caribbean	25,019	25,398
221	Palau	Oceania	Micronesia	21,503	21,729
222	Cook Islands	Oceania	Polynesia	17,379	17,380
223	Anguilla	Americas	Caribbean	14,764	14,909
224	Wallis and Futuna	Oceania	Polynesia	11,899	11,773
225	Nauru	Oceania	Micronesia	11,347	11,359
226	Tuvalu	Oceania	Polynesia	11,097	11,192
227	Saint Pierre and Miquelon	Americas	Northern America	6,305	6,320
228	Montserrat	Americas	Caribbean	5,152	5,177
229	Saint Helena, Ascension and Tristan da Cunha	Africa	Western Africa	4,035	4,049
230	Falkland Islands	Americas	South America	2,910	2,910
231	Niue	Oceania	Polynesia	1,624	1,618
232	Tokelau	Oceania	Polynesia	1,282	1,300
233	Vatican City	Europe	Southern Europe	801	792
